"First Name","Nama pertama",module,Magento_Backend
"Last Name","Nama terakhir",module,Magento_Backend
"First Name","Nama pertama",module,Magento_Catalog
"Last Name","Nama terakhir",module,Magento_Catalog
"First Name:","Nama pertama:",module,Magento_Company
"Last Name:","Nama terakhir:",module,Magento_Company
"First Name","Nama pertama",module,Magento_Company
"Last Name","Nama terakhir",module,Magento_Company
"First Name","Nama pertama",module,Magento_Customer
"Last Name","Nama terakhir",module,Magento_Customer
"First Name","Nama pertama",module,Magento_GiftRegistry
"Last Name","Nama terakhir",module,Magento_GiftRegistry
"First Name","Nama pertama",module,Magento_Invitation
"Last Name","Nama terakhir",module,Magento_Invitation
"Coupon Code SKU must be unique.","Kod kupon SKU mestilah unik."
"Yes","Ya"
"No","Tidak"
"Back","Kembali"
"Delete Outlet","Padam Kedai"
"Are you sure you want to do this?","Anda pasti mahu melakukannya?"
"Save and Continue Edit","Simpan dan Sambung Edit"
"Save Outlet","Simpan Kedai"
"Sync Outlets From API","Seragamkan Kedai Dari API"
"Test API Connection","Ujian Penyambungan API"
"Outlet","Kedai"
"You deleted the Outlet.","Anda telah memadam Kedai"
"We can't find a Outlet to delete.","Kami tidak boleh mencari Kedai untuk dipadam"
"This Outlet no longer exists.","Kedai ini tidak wujud lagi"
"Edit Outlet","Edit Kedai"
"New Outlet","Kedai Baru"
"Outlets","Kedai-kedai"
"Please correct the data sent.","Sila betulkan data yang dihantar"
"You saved the Outlet.","Anda telah menyimpan Kedai"
"Something went wrong while saving the Outlet.","Terdapat ralat semasa menyimpan Kedai"
"Enter detail to login by email/password","Masukkan maklumat e-mel/kata laluan untuk log masuk"
"You will be redirected to sign up page to create a new account.","Anda akan dibawa ke halaman daftar masuk untuk mencipta akaun baru"
"Request has no nric","Permintaan tidak mengandungi nombor kad pengenalan"
"Your request is not Accepted","Permintaan anda tidak Diterima"
"Valid Nric Passport","Nombor Kad Pengenalan/Passport Yang Sah"
"Something went wrong when fetching nric from server","Terdapat ralat semasa menarik nombor kad pengenalan dari pelayan"
"Could not save the acommerce: %1","A-Dagang tidak boleh disimpan: %1"
"No Postfix on input params","Tiada Pasca Pembetulan pada param maklumat"
"None","Tiada"
"Lanc√¥me Yours Rose","Lancome Yours Rose"
"Lanc√¥me Yours Gold","Lancome Yours Gold"
"Lanc√¥me Yours Black Gold","Lancome Yours Black Gold"
"Lancôme Yours Rose","Lancôme Yours Rose"
"Lancôme Yours Gold","Lancôme Yours Gold"
"Lancôme Yours Black Gold","Lancôme Yours Black Gold"
"All","Semua"
"Enabled","Membolehkan"
"Disabled","Melumpuhkan"
"Missing Field(s)","Ruang Hilang"
"Fulfilled","Dipenuhi"
"Could not save the outlet: %1","Kedai tidak boleh disimpan: %1"
"Outlet with id ""%1"" does not exist.","Kedai dengan ID ""%1"" tidak wujud."
"Could not delete the Outlet: %1","Kedai tidak boleh dipadam: %1"
"A customer with the same nric already exists in an associated website.","Pelanggan dengan Nombor Kad Pengenalan yang sama wujud di laman web bersekutu."
"A customer dob cannot be set later than current time.","Tarikh lahir pelanggan tidak boleh ditetapkan lewat daripada waktu semasa."
"Could not save the session: %1","Sesi anda tidak boleh disimpan: %1"
"Session with id ""%1"" does not exist.","Sesi dengan ID ""%1"" tidak wujud."
"Requested Session doesn't exist","Sesi yang Diminta tidak wujud"
"Could not delete the Session: %1","Sesi tidak boleh dipadam :%1"
"Guest","Tetamu"
"Nric does not exist","Nombor Kad Pengenalan tidak wujud"
"Incorrect Nric for this user","Nombor Kad Pengenalan tidak sah untuk pengguna ini"
"You'd need to input Nric to login","Anda perlu masukkan nombor kad pengenalan untuk log masuk"
"Unknown","Tidak dikenali"
"Linked","Berpaut"
"Not Linked","Tidak Berpaut"
"Edit","Edit"
"Delete","Memadam"
"Delete ""${ $.$data.title }","Memadam ""${ $.$data.title }"
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Adakah anda pasti untuk memadam rekod ""${ $.$data.title }""?"
"Login with NRIC","Log Masuk dengan Kad Pengenalan"
"Forgotten your password?","Terlupa kata laluan?"
"Provide your account email to receive a password reset email.","Berikan akaun e-mel anda untuk menerima e-mel penetapan semula kata laluan."
"* Required Fields","*Maklumat Diperlukan"
"Email","E-mel"
"Send","Hantar"
"Congratulations, you have reached the end of the list.","Tahniah, anda telah sampai ke senarai paling akhir."
"load more 1 item","muat lebih daripada 1 item"
"Load More","Muat Lagi"
"Malaysia","Malaysia"
"You added %1 to your shopping cart.","Anda telah menambah %1 ke dalam troli pembelian"
"We can't add this item to your shopping cart right now.","Kami tidak boleh menambah item ini ke dalam troli pembelian anda sekarang."
"Select VAT Type","Pilih Jenis VAT"
"A Thai National","Warganegara Thai"
"A non-Thai National","Bukan Warganegara Thai"
"A Juristic Person","Orang Juristic"
"Added to your cart","Ditambah ke dalam troli anda"
"QTY","KUANTITI"
"Continue Shopping","Teruskan Membeli"
"Go to checkout","Semak keluar"
"Congratulations! You just GOT 3 FREE SAMPLES.","Tahniah! Anda telah mendapat 3 SAMPEL PERCUMA"
"You May Also Like","Anda Juga Mungkin Suka"
"Choose an Option...","Pilih Pilihan Anda…"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Anda perlu sahkan akaun anda. Sila periksa e-mel anda untuk pautan pengesahan atau <a href=""%1"">klik sini</a> untuk pautan baru. "
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Terdapat akaun berdaftar dengan alamat e-mel ini. Jika anda pasti ini adalah alamat e-mel anda, <a href=""%1"">klik sini</a> untuk mengakses akaun anda dan dapatkan kata laluan."
"We can't save the customer.","Kami tidak boleh menyimpan pelanggan ini."
"Nric or Passport Number exists!","Nombor Kad Pengenalan atau Passport wujud!"
"Something went wrong while save customer.","Terdapat ralat semasa menyimpan data pelanggan."
"Incorrect CAPTCHA","CAPTCHA tidak sah"
"Please link to your Nric or Passport Number to get loyalty point","Sila pautkan ke Nombor Kad Pengenalan atau Passport anda untuk mendapatkan mata kesetiaan"
